"variant_id","source_job_id","entity_id","destination_id","batch_id","country_code","profile_id","max_width","max_height","fit","without_enlargement","format","max_bytes","status","physical_path","physical_bytes","parent_profile_file"
"variant:jp-kanazawa:md","source:jp-kanazawa:master","jp-kanazawa","jp-kanazawa","JP-S-02","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-kanazawa:lg","source:jp-kanazawa:master","jp-kanazawa","jp-kanazawa","JP-S-02","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-takayama:md","source:jp-takayama:master","jp-takayama","jp-takayama","JP-S-02","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-takayama:lg","source:jp-takayama:master","jp-takayama","jp-takayama","JP-S-02","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-shirakawa-go:md","source:jp-shirakawa-go:master","jp-shirakawa-go","jp-shirakawa-go","JP-S-02","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-shirakawa-go:lg","source:jp-shirakawa-go:master","jp-shirakawa-go","jp-shirakawa-go","JP-S-02","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-nikko:md","source:jp-nikko:master","jp-nikko","jp-nikko","JP-S-02","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-nikko:lg","source:jp-nikko:master","jp-nikko","jp-nikko","JP-S-02","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-sendai:md","source:jp-sendai:master","jp-sendai","jp-sendai","JP-S-02","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-sendai:lg","source:jp-sendai:master","jp-sendai","jp-sendai","JP-S-02","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-hakodate:md","source:jp-hakodate:master","jp-hakodate","jp-hakodate","JP-S-02","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-hakodate:lg","source:jp-hakodate:master","jp-hakodate","jp-hakodate","JP-S-02","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-otaru:md","source:jp-otaru:master","jp-otaru","jp-otaru","JP-S-02","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-otaru:lg","source:jp-otaru:master","jp-otaru","jp-otaru","JP-S-02","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-beppu:md","source:jp-beppu:master","jp-beppu","jp-beppu","JP-S-03","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-beppu:lg","source:jp-beppu:master","jp-beppu","jp-beppu","JP-S-03","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-yufuin:md","source:jp-yufuin:master","jp-yufuin","jp-yufuin","JP-S-03","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-yufuin:lg","source:jp-yufuin:master","jp-yufuin","jp-yufuin","JP-S-03","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
